h_rel,h,Delta_analytic,Delta_fd,Delta_cs,err_D_fd,err_D_cs,Gamma_analytic,Gamma_fd,Gamma_cs_real,Gamma_cs_45,err_G_fd,err_G_cs_real,err_G_cs_45
0.0000000001823348,0.0000000182334800,0.5398278372770290,0.5398275295115057,0.5398278372770289,0.0000003077655233,0.0000000000000001,0.0198476273738506,29.3868997567107719,-0.0000000000000000,0.0198476097781591,29.3670521293369227,0.0198476273738506,0.0000000175956915
0.0000000006061899,0.0000000606189899,0.5398278372770290,0.5398276628943642,0.5398278372770291,0.0000001743826648,0.0000000000000001,0.0198476273738506,3.6255515501463993,-0.0000000000000000,0.0198476312510387,3.6057039227725487,0.0198476273738506,0.0000000038771881
0.0000000020153377,0.0000002015337686,0.5398278372770290,0.5398278293752569,0.5398278372770288,0.0000000079017721,0.0000000000000002,0.0198476273738506,-0.2405455072146696,-0.0000000000000000,0.0198476261502108,0.2603931345885201,0.0198476273738506,0.0000000012236398
0.0000000067001875,0.0000006700187504,0.5398278372770290,0.5398278344200255,0.5398278372770290,0.0000000028570035,0.0000000000000000,0.0198476273738506,0.0633105785254760,0.0316552892627380,0.0198476282872525,0.0434629511516254,0.0118076618888874,0.0000000009134019
0.0000000222754295,0.0000022275429520,0.5398278372770290,0.5398278605223039,0.5398278372770287,0.0000000232452749,0.0000000000000003,0.0198476273738506,0.0170048046900875,0.0429595065854841,0.0198476272437027,0.0028428226837631,0.0231118792116335,0.0000000001301479
0.0000000740568469,0.0000074056846923,0.5398278372770290,0.5398279111906408,0.5398278372770290,0.0000000739136118,0.0000000000000000,0.0198476273738506,0.0196440297366733,0.0401625669801730,0.0198476273994209,0.0002035976371772,0.0203149396063224,0.0000000000255703
0.0000002462092401,0.0000246209240149,0.5398278372770290,0.5398280812795420,0.5398278372770291,0.0000002440025130,0.0000000000000001,0.0198476273738506,0.0198722610180648,0.0397122880361003,0.0198476273692630,0.0000246336442142,0.0198646606622497,0.0000000000045876
0.0000008185467307,0.0000818546730707,0.5398278372770290,0.5398286495123986,0.5398278372770291,0.0000008122353696,0.0000000000000001,0.0198476273738506,0.0198500995994381,0.0396980782351408,0.0198476273781883,0.0000024722255875,0.0198504508612902,0.0000000000043377
0.0000027213387684,0.0002721338768375,0.5398278372770290,0.5398305378925673,0.5398278372770287,0.0000027006155383,0.0000000000000003,0.0198476273738506,0.0198475551690159,0.0396953741883853,0.0198476273712295,0.0000000722048346,0.0198477468145347,0.0000000000026211
0.0000090473572423,0.0009047357242349,0.5398278372770290,0.5398368156657759,0.5398278372770285,0.0000089783887469,0.0000000000000004,0.0198476273738506,0.0198473399529974,0.0396952745229614,0.0198476273711014,0.0000002874208532,0.0198476471491108,0.0000000000027492
0.0000300788251804,0.0030078825180431,0.5398278372770290,0.5398576864945476,0.5398278372770290,0.0000298492175186,0.0000000000000000,0.0198476273738506,0.0198467303793150,0.0396952543232361,0.0198476273420436,0.0000008969945355,0.0198476269493855,0.0000000000318069
0.0001000000000000,0.0100000000000000,0.5398278372770290,0.5399270704495862,0.5398278372770290,0.0000992331725572,0.0000000000000000,0.0198476273738506,0.0198446478361092,0.0396952547987439,0.0198476270223645,0.0000029795377414,0.0198476274248933,0.0000000003514861
